medal_type,medal_code,medal_date,athlete_name,event,country,discipline
Bronze Medal,3,00:00.0,ZHANG Dechang,Women's Eight,People's Republic of China,Rowing
Gold Medal,1,00:00.0,TWIGG Emma,Women's Single Sculls,New Zealand,Rowing
Silver Medal,2,00:00.0,PRAKATSEN Hanna,Women's Single Sculls,ROC,Rowing
Bronze Medal,3,00:00.0,LOBNIG Magdalena,Women's Single Sculls,Austria,Rowing
Gold Medal,1,00:00.0,BATSARASHKINA Vitalina,25m Pistol Women,ROC,Shooting
Silver Medal,2,00:00.0,KIM Minjung,25m Pistol Women,Republic of Korea,Shooting
Bronze Medal,3,00:00.0,XIAO Jiaruixuan,25m Pistol Women,People's Republic of China,Shooting
Gold Medal,1,00:00.0,RYLOV Evgeny,Men's 200m Backstroke,ROC,Swimming
Silver Medal,2,00:00.0,MURPHY Ryan,Men's 200m Backstroke,United States of America,Swimming
Bronze Medal,3,00:00.0,GREENBANK Luke,Men's 200m Backstroke,Great Britain,Swimming
Gold Medal,1,00:00.0,WANG Shun,Men's 200m Individual Medley,People's Republic of China,Swimming
Silver Medal,2,00:00.0,SCOTT Duncan,Men's 200m Individual Medley,Great Britain,Swimming
Bronze Medal,3,00:00.0,DESPLANCHES Jeremy,Men's 200m Individual Medley,Switzerland,Swimming
Gold Medal,1,00:00.0,McKEON Emma,Women's 100m Freestyle,Australia,Swimming
Silver Medal,2,00:00.0,HAUGHEY Siobhan Bernadette,Women's 100m Freestyle,"Hong Kong, China",Swimming
Bronze Medal,3,00:00.0,CAMPBELL Cate,Women's 100m Freestyle,Australia,Swimming
Gold Medal,1,00:00.0,SCHOENMAKER Tatjana,Women's 200m Breaststroke,South Africa,Swimming
Silver Medal,2,00:00.0,KING Lilly,Women's 200m Breaststroke,United States of America,Swimming
Bronze Medal,3,00:00.0,LAZOR Annie,Women's 200m Breaststroke,United States of America,Swimming
Gold Medal,1,00:00.0,MA Long,Men's Singles,People's Republic of China,Table Tennis
Silver Medal,2,00:00.0,FAN Zhendong,Men's Singles,People's Republic of China,Table Tennis
Bronze Medal,3,00:00.0,OVTCHAROV Dimitrij,Men's Singles,Germany,Table Tennis
Gold Medal,1,00:00.0,MEKTIC Nikola,Men's Doubles,Croatia,Tennis
Gold Medal,1,00:00.0,PAVIC Mate,Men's Doubles,Croatia,Tennis
Silver Medal,2,00:00.0,CILIC Marin,Men's Doubles,Croatia,Tennis
Silver Medal,2,00:00.0,DODIG Ivan,Men's Doubles,Croatia,Tennis
Bronze Medal,3,00:00.0,DANIELL Marcus,Men's Doubles,New Zealand,Tennis
Bronze Medal,3,00:00.0,VENUS Michael,Men's Doubles,New Zealand,Tennis
Gold Medal,1,00:00.0,ZHU Xueying,Women,People's Republic of China,Trampoline Gymnastics
Silver Medal,2,00:00.0,LIU Lingling,Women,People's Republic of China,Trampoline Gymnastics
Bronze Medal,3,00:00.0,PAGE Bryony,Women,Great Britain,Trampoline Gymnastics
Gold Medal,1,00:00.0,GAZOZ Mete,Men's Individual,Turkey,Archery
Silver Medal,2,00:00.0,NESPOLI Mauro,Men's Individual,Italy,Archery
Bronze Medal,3,00:00.0,FURUKAWA Takaharu,Men's Individual,Japan,Archery
Gold Medal,1,00:00.0,HOLUB-KOWALIK Malgorzata,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,00:00.0,KACZMAREK Natalia,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,00:00.0,BAUMGART-WITAN Iga,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,00:00.0,SWIETY-ERSETIC Justyna,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,00:00.0,DUSZYNSKI Kajetan,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,00:00.0,ZALEWSKI Karol,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,00:00.0,KOWALUK Dariusz,4 x 400m Relay Mixed,Poland,Athletics
Silver Medal,2,00:00.0,OGANDO Alexander,4 x 400m Relay Mixed,Dominican Republic,Athletics
Silver Medal,2,00:00.0,SANTOS Luguelin,4 x 400m Relay Mixed,Dominican Republic,Athletics
Silver Medal,2,00:00.0,FELIZ Lidio Andres,4 x 400m Relay Mixed,Dominican Republic,Athletics
Silver Medal,2,00:00.0,PAULINO Marileidy,4 x 400m Relay Mixed,Dominican Republic,Athletics
Silver Medal,2,00:00.0,MEDINA VENTURA Anabel,4 x 400m Relay Mixed,Dominican Republic,Athletics
Bronze Medal,3,00:00.0,GODWIN Elija,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,00:00.0,DEADMON Bryce,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,00:00.0,ELLIS Kendall,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,00:00.0,WHITNEY Kaylin,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,00:00.0,STEWART Trevor,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,00:00.0,MANSON Taylor,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,00:00.0,IRBY Lynna,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,00:00.0,NORWOOD Vernon,4 x 400m Relay Mixed,United States of America,Athletics
Gold Medal,1,00:00.0,STAHL Daniel,Men's Discus Throw,Sweden,Athletics
Silver Medal,2,00:00.0,PETTERSSON Simon,Men's Discus Throw,Sweden,Athletics
Bronze Medal,3,00:00.0,WEISSHAIDINGER Lukas,Men's Discus Throw,Austria,Athletics
Gold Medal,1,00:00.0,THOMPSON-HERAH Elaine,Women's 100m,Jamaica,Athletics
Silver Medal,2,00:00.0,FRASER-PRYCE Shelly-Ann,Women's 100m,Jamaica,Athletics
Bronze Medal,3,00:00.0,JACKSON Shericka,Women's 100m,Jamaica,Athletics
Gold Medal,1,00:00.0,WANG Chi-Lin,Men's Doubles,Chinese Taipei,Badminton
Gold Medal,1,00:00.0,LEE Yang,Men's Doubles,Chinese Taipei,Badminton
Silver Medal,2,00:00.0,LI Jun Hui,Men's Doubles,People's Republic of China,Badminton
Silver Medal,2,00:00.0,LIU Yu Chen,Men's Doubles,People's Republic of China,Badminton
Bronze Medal,3,00:00.0,CHIA Aaron,Men's Doubles,Malaysia,Badminton
Bronze Medal,3,00:00.0,SOH Wooi Yik,Men's Doubles,Malaysia,Badminton
Bronze Medal,3,00:00.0,TESTA Irma,Women's Feather (54-57kg),Italy,Boxing
Bronze Medal,3,00:00.0,ARTINGSTALL Karriss,Women's Feather (54-57kg),Great Britain,Boxing
Gold Medal,1,00:00.0,POZDNIAKOVA Sofia,Women's Sabre Team,ROC,Fencing
Gold Medal,1,00:00.0,NIKITINA Olga,Women's Sabre Team,ROC,Fencing
Gold Medal,1,00:00.0,VELIKAYA Sofya,Women's Sabre Team,ROC,Fencing
Silver Medal,2,00:00.0,BALZER Sara,Women's Sabre Team,France,Fencing
Silver Medal,2,00:00.0,BERDER Cecilia,Women's Sabre Team,France,Fencing
Silver Medal,2,00:00.0,BRUNET Manon,Women's Sabre Team,France,Fencing
Silver Medal,2,00:00.0,LEMBACH Charlotte,Women's Sabre Team,France,Fencing
Bronze Medal,3,00:00.0,KIM Jiyeon,Women's Sabre Team,Republic of Korea,Fencing
Bronze Medal,3,00:00.0,YOON Jisu,Women's Sabre Team,Republic of Korea,Fencing
Bronze Medal,3,00:00.0,SEO Jiyeon,Women's Sabre Team,Republic of Korea,Fencing
Bronze Medal,3,00:00.0,CHOI Sooyeon,Women's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,00:00.0,BUCHARD Amandine,Mixed Team,France,Judo
Gold Medal,1,00:00.0,RINER Teddy,Mixed Team,France,Judo
Gold Medal,1,00:00.0,le BLOUCH Kilian,Mixed Team,France,Judo
Gold Medal,1,00:00.0,CHAINE Guillaume,Mixed Team,France,Judo
Gold Medal,1,00:00.0,CLERGET Axel,Mixed Team,France,Judo
Gold Medal,1,00:00.0,IDDIR Alexandre,Mixed Team,France,Judo
Gold Medal,1,00:00.0,DICKO Romane,Mixed Team,France,Judo
Gold Medal,1,00:00.0,MALONGA Madeleine,Mixed Team,France,Judo
Gold Medal,1,00:00.0,AGBEGNENOU Clarisse,Mixed Team,France,Judo
Gold Medal,1,00:00.0,PINOT Margaux,Mixed Team,France,Judo
Gold Medal,1,00:00.0,CYSIQUE Sarah Leonie,Mixed Team,France,Judo
Silver Medal,2,00:00.0,ABE Uta,Mixed Team,Japan,Judo
Silver Medal,2,00:00.0,ARAI Chizuru,Mixed Team,Japan,Judo
Silver Medal,2,00:00.0,YOSHIDA Tsukasa,Mixed Team,Japan,Judo
Silver Medal,2,00:00.0,TASHIRO Miku,Mixed Team,Japan,Judo
Silver Medal,2,00:00.0,SONE Akira,Mixed Team,Japan,Judo
Silver Medal,2,00:00.0,HARASAWA Hisayoshi,Mixed Team,Japan,Judo
Silver Medal,2,00:00.0,HAMADA Shori,Mixed Team,Japan,Judo
Silver Medal,2,00:00.0,NAGASE Takanori,Mixed Team,Japan,Judo
Silver Medal,2,00:00.0,WOLF Aaron,Mixed Team,Japan,Judo
Silver Medal,2,00:00.0,MUKAI Shoichiro,Mixed Team,Japan,Judo
Silver Medal,2,00:00.0,ONO Shohei,Mixed Team,Japan,Judo
Silver Medal,2,00:00.0,ABE Hifumi,Mixed Team,Japan,Judo
Bronze Medal,3,00:00.0,MUKI Sagi,Mixed Team,Israel,Judo
Bronze Medal,3,00:00.0,BUTBUL Tohar,Mixed Team,Israel,Judo
Bronze Medal,3,00:00.0,SASSON Or,Mixed Team,Israel,Judo
Bronze Medal,3,00:00.0,KOCHMAN Li,Mixed Team,Israel,Judo
Bronze Medal,3,00:00.0,SHMAILOV Baruch,Mixed Team,Israel,Judo
Bronze Medal,3,00:00.0,PALTCHIK Peter,Mixed Team,Israel,Judo
Bronze Medal,3,00:00.0,LANIR Inbar,Mixed Team,Israel,Judo
Bronze Medal,3,00:00.0,SHARIR Gili,Mixed Team,Israel,Judo
Bronze Medal,3,00:00.0,HERSHKO Raz,Mixed Team,Israel,Judo
Bronze Medal,3,00:00.0,NELSON LEVY Timna,Mixed Team,Israel,Judo
Bronze Medal,3,00:00.0,RISHONY Shira,Mixed Team,Israel,Judo
Bronze Medal,3,00:00.0,WAGNER Anna-Maria,Mixed Team,Germany,Judo
Bronze Medal,3,00:00.0,MENZ Katharina,Mixed Team,Germany,Judo
Bronze Medal,3,00:00.0,SCOCCIMARRO Giovanna,Mixed Team,Germany,Judo
Bronze Medal,3,00:00.0,FREY Karl-Richard,Mixed Team,Germany,Judo
Bronze Medal,3,00:00.0,RESSEL Dominic,Mixed Team,Germany,Judo
Bronze Medal,3,00:00.0,SEIDL Sebastian,Mixed Team,Germany,Judo
Bronze Medal,3,00:00.0,WANDTKE Igor,Mixed Team,Germany,Judo
Bronze Medal,3,00:00.0,FREY Johannes,Mixed Team,Germany,Judo
Bronze Medal,3,00:00.0,TRIPPEL Eduard,Mixed Team,Germany,Judo
Bronze Medal,3,00:00.0,TRAJDOS Martyna,Mixed Team,Germany,Judo
Bronze Medal,3,00:00.0,STOLL Theresa,Mixed Team,Germany,Judo
Bronze Medal,3,00:00.0,GRABOWSKI Jasmin,Mixed Team,Germany,Judo
Gold Medal,1,00:00.0,BLYDE Michaela,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,BROUGHTON Gayle,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,POURI-LANE Risi,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,SAILI Alena,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,KAKA Shiray,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,TUI Ruby,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,FLUHLER Stacey,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,WILLISON Tenika,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,WOODMAN Portia,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,NATHAN-WONG Tyla,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,FITZPATRICK Theresa,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,HIRINI Sarah,Women,New Zealand,Rugby Sevens
Gold Medal,1,00:00.0,BRAZIER Kelly,Women,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,BERTRAND Coralie,Women,France,Rugby Sevens
Silver Medal,2,00:00.0,CIOFANI Anne-Cecile,Women,France,Rugby Sevens
Silver Medal,2,00:00.0,DROUIN Caroline,Women,France,Rugby Sevens
Silver Medal,2,00:00.0,GRASSINEAU Camille,Women,France,Rugby Sevens
Silver Medal,2,00:00.0,GUERIN Lina,Women,France,Rugby Sevens
Silver Medal,2,00:00.0,HORTA Fanny,Women,France,Rugby Sevens
Silver Medal,2,00:00.0,IZAR Shannon,Women,France,Rugby Sevens
Silver Medal,2,00:00.0,JACQUET Chloe,Women,France,Rugby Sevens
Silver Medal,2,00:00.0,ULUTULE Jade,Women,France,Rugby Sevens
Silver Medal,2,00:00.0,NEISEN Carla,Women,France,Rugby Sevens
Silver Medal,2,00:00.0,OKEMBA Seraphine,Women,France,Rugby Sevens
Silver Medal,2,00:00.0,PELLE Chloe,Women,France,Rugby Sevens
Bronze Medal,3,00:00.0,LIKUCEVA Laisana,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,ULUNISAU Reapi,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,ROQICA Ana,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,NAGASAU Rusila,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,SOLIKOVITI Vasiti,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,TINAI Lavenia,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,NAIMASI Ana Maria,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,RIWAI Viniana,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,RADINIYAVUNI Roela,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,NAKOCI Alowesi,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,DAVEUA Raijieli,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,CAVURU Lavena,Women,Fiji,Rugby Sevens
Bronze Medal,3,00:00.0,DONU Sesenieli,Women,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,BADLOE Kiran,Men's Windsurfer - RS:X,Netherlands,Sailing
Silver Medal,2,00:00.0,GOYARD Thomas,Men's Windsurfer - RS:X,France,Sailing
Bronze Medal,3,00:00.0,BI Kun,Men's Windsurfer - RS:X,People's Republic of China,Sailing
Gold Medal,1,00:00.0,LU Yunxiu,Women's Windsurfer - RS:X,People's Republic of China,Sailing
Silver Medal,2,00:00.0,PICON Charline,Women's Windsurfer - RS:X,France,Sailing
Bronze Medal,3,00:00.0,WILSON Emma,Women's Windsurfer - RS:X,Great Britain,Sailing
Gold Medal,1,00:00.0,CHRISTEN Nina,50m Rifle 3 Positions Women,Switzerland,Shooting
Silver Medal,2,00:00.0,ZYKOVA Yulia,50m Rifle 3 Positions Women,ROC,Shooting
Bronze Medal,3,00:00.0,KARIMOVA Yulia,50m Rifle 3 Positions Women,ROC,Shooting
Gold Medal,1,00:00.0,FERNANDEZ Alberto,Trap Mixed Team,Spain,Shooting
Gold Medal,1,00:00.0,GALVEZ Fatima,Trap Mixed Team,Spain,Shooting
Silver Medal,2,00:00.0,PERILLI Alessandra,Trap Mixed Team,San Marino,Shooting
Silver Medal,2,00:00.0,BERTI Gian Marco,Trap Mixed Team,San Marino,Shooting
Bronze Medal,3,00:00.0,BERNAU Madelynn Ann,Trap Mixed Team,United States of America,Shooting
Bronze Medal,3,00:00.0,BURROWS Brian,Trap Mixed Team,United States of America,Shooting
Gold Medal,1,00:00.0,DRESSEL Caeleb,Men's 100m Butterfly,United States of America,Swimming
Silver Medal,2,00:00.0,MILAK Kristof,Men's 100m Butterfly,Hungary,Swimming
Bronze Medal,3,00:00.0,PONTI Noe,Men's 100m Butterfly,Switzerland,Swimming
Gold Medal,1,00:00.0,ANDERSON Freya,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,00:00.0,DAWSON Kathleen,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,00:00.0,GUY James,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,00:00.0,HOPKIN Anna,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,00:00.0,PEATY Adam,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Silver Medal,2,00:00.0,ZHANG Yufei,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Silver Medal,2,00:00.0,YANG Junxuan,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Silver Medal,2,00:00.0,YAN Zibei,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Silver Medal,2,00:00.0,XU Jiayu,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Bronze Medal,3,00:00.0,TEMPLE Matthew,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,00:00.0,THROSSELL Brianna,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,00:00.0,COOPER Isaac,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,00:00.0,STUBBLETY-COOK Izaac,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,00:00.0,McKEOWN Kaylee,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,00:00.0,McKEON Emma,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,00:00.0,CAMPBELL Bronte,Mixed 4 x 100m Medley Relay,Australia,Swimming
Gold Medal,1,00:00.0,McKEOWN Kaylee,Women's 200m Backstroke,Australia,Swimming
Silver Medal,2,00:00.0,MASSE Kylie,Women's 200m Backstroke,Canada,Swimming
Bronze Medal,3,00:00.0,SEEBOHM Emily,Women's 200m Backstroke,Australia,Swimming
Gold Medal,1,00:00.0,LEDECKY Kathleen,Women's 800m Freestyle,United States of America,Swimming
Silver Medal,2,00:00.0,TITMUS Ariarne,Women's 800m Freestyle,Australia,Swimming
Bronze Medal,3,00:00.0,QUADARELLA Simona,Women's 800m Freestyle,Italy,Swimming
Bronze Medal,3,00:00.0,CARRENO BUSTA Pablo,Men's Singles,Spain,Tennis
Bronze Medal,3,00:00.0,PEERS John,Mixed Doubles,Australia,Tennis
Bronze Medal,3,00:00.0,BARTY Ashleigh,Mixed Doubles,Australia,Tennis
Bronze Medal,3,00:00.0,PIGOSSI Laura,Women's Doubles,Brazil,Tennis
Bronze Medal,3,00:00.0,STEFANI Luisa,Women's Doubles,Brazil,Tennis
Gold Medal,1,00:00.0,BENCIC Belinda,Women's Singles,Switzerland,Tennis
Silver Medal,2,00:00.0,VONDROUSOVA Marketa,Women's Singles,Czech Republic,Tennis
Bronze Medal,3,00:00.0,SVITOLINA Elina,Women's Singles,Ukraine,Tennis
Gold Medal,1,00:00.0,LITVINOVICH Ivan,Men,Belarus,Trampoline Gymnastics
Silver Medal,2,00:00.0,DONG Dong,Men,People's Republic of China,Trampoline Gymnastics
Bronze Medal,3,00:00.0,SCHMIDT Dylan,Men,New Zealand,Trampoline Gymnastics
Gold Medal,1,00:00.0,TAYLOR-BROWN Georgia,Mixed Relay,Great Britain,Triathlon
Gold Medal,1,00:00.0,YEE Alex,Mixed Relay,Great Britain,Triathlon
Gold Medal,1,00:00.0,BROWNLEE Jonathan,Mixed Relay,Great Britain,Triathlon
Gold Medal,1,00:00.0,LEARMONTH Jessica,Mixed Relay,Great Britain,Triathlon
Silver Medal,2,00:00.0,ZAFERES Katie,Mixed Relay,United States of America,Triathlon
Silver Medal,2,00:00.0,PEARSON Morgan,Mixed Relay,United States of America,Triathlon
Silver Medal,2,00:00.0,KNIBB Taylor,Mixed Relay,United States of America,Triathlon
Silver Medal,2,00:00.0,McDOWELL Kevin,Mixed Relay,United States of America,Triathlon
Bronze Medal,3,00:00.0,BEAUGRAND Cassandre,Mixed Relay,France,Triathlon
Bronze Medal,3,00:00.0,CONINX Dorian,Mixed Relay,France,Triathlon
Bronze Medal,3,00:00.0,LUIS Vincent,Mixed Relay,France,Triathlon
Bronze Medal,3,00:00.0,PERIAULT Leonie,Mixed Relay,France,Triathlon
Gold Medal,1,00:00.0,LYU Xiaojun,Men's 81kg,People's Republic of China,Weightlifting
Silver Medal,2,00:00.0,BONNAT MICHEL Zacarias,Men's 81kg,Dominican Republic,Weightlifting
Bronze Medal,3,00:00.0,PIZZOLATO Antonino,Men's 81kg,Italy,Weightlifting
Gold Medal,1,00:00.0,ELBAKH Fares Ibrahim E H,Men's 96kg,Qatar,Weightlifting
Silver Medal,2,00:00.0,VALLENILLA SANCHEZ Keydomar Giovan.,Men's 96kg,Venezuela,Weightlifting
Bronze Medal,3,00:00.0,PLIESNOI Anton,Men's 96kg,Georgia,Weightlifting
Gold Medal,1,00:00.0,DOLGOPYAT Artem,Men's Floor Exercise,Israel,Artistic Gymnastics
Silver Medal,2,00:00.0,ZAPATA Rayderley,Men's Floor Exercise,Spain,Artistic Gymnastics
Bronze Medal,3,00:00.0,XIAO Ruoteng,Men's Floor Exercise,People's Republic of China,Artistic Gymnastics
Gold Medal,1,00:00.0,WHITLOCK Max,Men's Pommel Horse,Great Britain,Artistic Gymnastics
Silver Medal,2,00:00.0,LEE Chih Kai,Men's Pommel Horse,Chinese Taipei,Artistic Gymnastics
Bronze Medal,3,00:00.0,KAYA Kazuma,Men's Pommel Horse,Japan,Artistic Gymnastics
Gold Medal,1,00:00.0,DERWAEL Nina,Women's Uneven Bars,Belgium,Artistic Gymnastics
Silver Medal,2,00:00.0,ILIANKOVA Anastasiia,Women's Uneven Bars,ROC,Artistic Gymnastics
Bronze Medal,3,00:00.0,LEE Sunisa,Women's Uneven Bars,United States of America,Artistic Gymnastics
Gold Medal,1,00:00.0,ANDRADE Rebeca,Women's Vault,Brazil,Artistic Gymnastics
Silver Medal,2,00:00.0,SKINNER Mykayla,Women's Vault,United States of America,Artistic Gymnastics
Bronze Medal,3,00:00.0,YEO Seojeong,Women's Vault,Republic of Korea,Artistic Gymnastics
Gold Medal,1,00:00.0,JACOBS Lamont Marcell,Men's 100m,Italy,Athletics
Silver Medal,2,00:00.0,KERLEY Fred,Men's 100m,United States of America,Athletics
Bronze Medal,3,00:00.0,de GRASSE Andre,Men's 100m,Canada,Athletics
Gold Medal,1,00:00.0,BARSHIM Mutaz Essa,Men's High Jump,Qatar,Athletics
Gold Medal,1,00:00.0,TAMBERI Gianmarco,Men's High Jump,Italy,Athletics
Bronze Medal,3,00:00.0,NEDASEKAU Maksim,Men's High Jump,Belarus,Athletics
Gold Medal,1,00:00.0,GONG Lijiao,Women's Shot Put,People's Republic of China,Athletics
Silver Medal,2,00:00.0,SAUNDERS Raven,Women's Shot Put,United States of America,Athletics
Bronze Medal,3,00:00.0,ADAMS Valerie,Women's Shot Put,New Zealand,Athletics
Gold Medal,1,00:00.0,ROJAS Yulimar,Women's Triple Jump,Venezuela,Athletics
Silver Medal,2,00:00.0,MAMONA Patricia,Women's Triple Jump,Portugal,Athletics
Bronze Medal,3,00:00.0,PELETEIRO Ana,Women's Triple Jump,Spain,Athletics
Gold Medal,1,00:00.0,CHEN Yu Fei,Women's Singles,People's Republic of China,Badminton
Silver Medal,2,00:00.0,TAI Tzu-Ying,Women's Singles,Chinese Taipei,Badminton
Bronze Medal,3,00:00.0,PUSARLA V. Sindhu,Women's Singles,India,Badminton
Bronze Medal,3,00:00.0,ALFONSO DOMINGUEZ Loren Berto,Men's Light Heavy (75-81kg),Azerbaijan,Boxing
Bronze Medal,3,00:00.0,KHATAEV Imam,Men's Light Heavy (75-81kg),ROC,Boxing
Bronze Medal,3,00:00.0,WALSH Aidan,Men's Welter (63-69kg),Ireland,Boxing
Bronze Medal,3,00:00.0,ZAMKOVOI Andrei,Men's Welter (63-69kg),ROC,Boxing
Gold Medal,1,00:00.0,MARTIN Logan,Men's Park,Australia,Cycling BMX Freestyle
Silver Medal,2,00:00.0,DHERS Daniel,Men's Park,Venezuela,Cycling BMX Freestyle
Bronze Medal,3,00:00.0,BROOKS Declan,Men's Park,Great Britain,Cycling BMX Freestyle
Gold Medal,1,00:00.0,WORTHINGTON Charlotte,Women's Park,Great Britain,Cycling BMX Freestyle
Silver Medal,2,00:00.0,ROBERTS Hannah,Women's Park,United States of America,Cycling BMX Freestyle
Bronze Medal,3,00:00.0,DUCARROZ Nikita,Women's Park,Switzerland,Cycling BMX Freestyle
Gold Medal,1,00:00.0,SHI Tingmao,Women's 3m Springboard,People's Republic of China,Diving
Silver Medal,2,00:00.0,WANG Han,Women's 3m Springboard,People's Republic of China,Diving
Bronze Medal,3,00:00.0,PALMER Krysta,Women's 3m Springboard,United States of America,Diving
Gold Medal,1,00:00.0,le PECHOUX Erwann,Men's Foil Team,France,Fencing
Gold Medal,1,00:00.0,LEFORT Enzo,Men's Foil Team,France,Fencing
Gold Medal,1,00:00.0,MERTINE Julien,Men's Foil Team,France,Fencing
Gold Medal,1,00:00.0,PAUTY Maxime,Men's Foil Team,France,Fencing
Silver Medal,2,00:00.0,SAFIN Timur,Men's Foil Team,ROC,Fencing
Silver Medal,2,00:00.0,BORODACHEV Kirill,Men's Foil Team,ROC,Fencing
Silver Medal,2,00:00.0,BORODACHEV Anton,Men's Foil Team,ROC,Fencing
Silver Medal,2,00:00.0,MYLNIKOV Vladislav,Men's Foil Team,ROC,Fencing
Bronze Medal,3,00:00.0,ITKIN Nick,Men's Foil Team,United States of America,Fencing
Bronze Medal,3,00:00.0,IMBODEN Race,Men's Foil Team,United States of America,Fencing
Bronze Medal,3,00:00.0,MASSIALAS Alexander,Men's Foil Team,United States of America,Fencing
Bronze Medal,3,00:00.0,MEINHARDT Gerek,Men's Foil Team,United States of America,Fencing
Gold Medal,1,00:00.0,SCHAUFFELE Xander,Men's Individual Stroke Play,United States of America,Golf
Silver Medal,2,00:00.0,SABBATINI Rory,Men's Individual Stroke Play,Slovakia,Golf
Bronze Medal,3,00:00.0,PAN C T,Men's Individual Stroke Play,Chinese Taipei,Golf
Gold Medal,1,00:00.0,WEARN Matt,Men's One Person Dinghy - Laser,Australia,Sailing
Silver Medal,2,00:00.0,STIPANOVIC Tonci,Men's One Person Dinghy - Laser,Croatia,Sailing
Bronze Medal,3,00:00.0,TOMASGAARD Hermann,Men's One Person Dinghy - Laser,Norway,Sailing
Gold Medal,1,00:00.0,RINDOM Anne-Marie,Women's One Person Dinghy - Laser Radial,Denmark,Sailing
Silver Medal,2,00:00.0,OLSSON Josefin,Women's One Person Dinghy - Laser Radial,Sweden,Sailing
Bronze Medal,3,00:00.0,BOUWMEESTER Marit,Women's One Person Dinghy - Laser Radial,Netherlands,Sailing
Gold Medal,1,00:00.0,FINKE Robert,Men's 1500m Freestyle,United States of America,Swimming
Silver Medal,2,00:00.0,ROMANCHUK Mykhailo,Men's 1500m Freestyle,Ukraine,Swimming
Bronze Medal,3,00:00.0,WELLBROCK Florian,Men's 1500m Freestyle,Germany,Swimming
Gold Medal,1,00:00.0,ARMSTRONG Joseph,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,00:00.0,WILSON Andrew,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,00:00.0,DRESSEL Caeleb,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,00:00.0,APPLE Zach,Men's 4 x 100m Medley Relay,United States of America,Swimming
